PERIOD_START_TIME,SECTOR,REGION,RRC_SETUP_SR_ALL,RAB_EST_SR_CS,W2G_IRAT/IF_HO_SR,DROP_CALL_RATE,IF_HOSR,RAB_DROP_RATE_HSDPA,RAB_DROP_RATE_EUL,AVERAGE_UL_RSSI_DBM,RAB_SETUP_SUCC_RATE_PS,EUL_MAC_USER_THR_KBPS,HSDPA_MAC_HS_USER_THR_NET,PAGING_INTENSITY(PPS/CELL),3G_LOAD
2/27/2021,UN4678XA,R1,99.7104,99.9008,100,0.0347,97.0667,0.0953,0.0857,-103.875,99.8967,420.271261,2215.857458,0,424.6369342272
2/27/2021,UN4475XB,R3,99.5771,99.9849,100,0.0656,73.913,0.066,0.0682,-104.67,99.7011,516.543716,3099.057158,0,690.12865766935
2/27/2021,UN4512XC,R1,98.9446,99.8535,95,0.2641,77.1186,0.2635,0.2143,-101.4733,99.813,392.216566,3033.089307,0,843.496644368025
2/27/2021,UN4521XA,R3,99.7447,100,98.2759,0.0956,75.5556,0.0683,0.0473,-103.7533,99.8457,413.60008,2577.798741,0,903.3279316005
2/27/2021,UN4562XC,R1,99.309,99.9355,96.4286,0.0476,77.5,0.2237,0.1922,-103.5733,99.926,379.748063,1808.384749,0,315.1113704196
2/27/2021,UN4684XD,R1,99.8795,100,100,0.0327,94.9153,0.1059,0.0835,-104.0467,100,424.871936,1938.55982,0,442.6859479694
2/27/2021,UN4689XC,R1,99.7835,99.9119,100,0.2436,100,0.1659,0.1216,-106.7033,99.6172,403.558178,3213.943829,0,129.936194206413
2/27/2021,UN4454XB,R3,99.8902,99.902,99.2366,0.1132,80.2817,0.0383,0.0442,-102.65,99.9209,466.336432,2143.476095,0,1075.8840824361
2/27/2021,UT1888XB,R7,99.4901,100,98.3607,0.3868,98.9474,0.1527,0.123,-103.55,99.4355,411.679573,1652.832262,0,345.1221015978
2/27/2021,UT1937XA,R1,99.813,99.9722,96.875,0.0594,79.3956,0.1517,0.122,-101.8733,99.9283,349.84862,1542.105502,0,875.664935360813
2/27/2021,UT1970XC,R1,99.8429,99.9735,100,0.0512,96.1783,0.1174,0.1087,-103.5567,99.8826,361.641547,2125.778192,0,1247.47042746954
2/27/2021,UT1970XE,R1,99.88,100,100,0.1276,96.4286,0.0536,0.0492,-104.94,99.9506,372.756437,2769.8167,0,261.64969662805
2/27/2021,UT1849XB,R8,99.8455,99.9867,100,0.315,99.3151,0.1123,0.089,-102.4733,99.8862,471.897089,2434.73057,0,759.5667347304
2/27/2021,UT1861XC,R8,99.7891,99.9932,66.6667,0.1284,91.5663,0.1747,0.1655,-100.2067,99.9698,413.662786,1684.357128,0,1751.43942593213
2/27/2021,UT1948XC,R1,99.8822,100,95.8333,0.0495,90.4762,0.1171,0.1078,-103.18,99.929,398.645799,1994.324344,0,1185.89227407006
2/27/2021,UT1975XC,R1,99.7325,99.992,100,0.0471,94.0294,0.1201,0.1052,-103.51,99.8204,419.932816,2492.296661,0,1292.51861461565
2/27/2021,UT1770XB,R7,99.8494,100,100,0.1005,99.505,0.0553,0.0535,-101.39,99.9128,571.120197,2493.218584,0,819.7098094148
2/27/2021,UT1849XC,R8,99.5772,99.9886,100,0.0757,97.8571,0.2916,0.2697,-101.62,99.6981,382.517414,1721.027153,0,854.6454957523
2/27/2021,UT1933XB,R1,99.6518,99.9831,96.3636,0.0452,95.1807,0.2094,0.181,-102.1633,99.8953,371.340745,1990.717538,0,1284.48506707188
2/27/2021,UT1947XA,R1,99.9126,99.9853,100,0.0628,96.2264,0.1221,0.1026,-103.35,99.925,411.27371,2803.202393,0,869.1354434509
2/27/2021,UT1953XA,R1,99.7191,99.904,92.5926,0.0699,83.9161,0.0461,0.0426,-102.915,99.8486,364.189185,2175.172582,0,238.3365106594
2/27/2021,UT1955XF,R1,99.8491,100,100,0.0806,96.2733,0.0403,0.0341,-105.31,100,656.428045,3171.467265,0,210.6567568875
2/27/2021,UT1961XD,R1,99.4835,99.9908,95.8333,0.0666,92.9825,0.1919,0.1509,-104.5967,99.6548,335.347838,1344.343411,0,1284.22540893935
2/27/2021,UT1978XA,R1,99.7657,99.9846,100,0.0452,94.3565,0.0826,0.0726,-104.8625,99.8738,418.220181,2908.23887,0,831.92681600705
2/27/2021,UT1849XD,R8,99.7537,100,97.5,0.2159,95.7286,0.2803,0.255,-100.4967,99.8525,336.102946,1858.821234,0,1376.867076331
2/27/2021,UT1901XC,R1,99.586,99.9666,100,0.1538,91.2052,0.3346,0.2519,-102.34,99.8008,300.857327,1990.165315,0,1195.80415771511
2/27/2021,UT1905XC,R1,99.6633,100,100,0.0463,99.2026,0.1993,0.1568,-101.6167,99.9255,343.749212,2185.854472,0,1642.92216785193
2/27/2021,UT1938XA,R1,99.7135,99.9582,95.5556,0.267,78.3742,0.207,0.1698,-102.9825,99.8962,341.745046,2251.245157,0,1167.87741257615
2/27/2021,UT1958XF,R1,99.9211,99.7667,100,0,95.9184,0.0391,0.0227,-105.08,100,542.656547,3331.423335,0,135.615585901088
2/27/2021,UT1985XC,R1,99.7449,100,93.1034,0,98.7692,0.0452,0.0461,-104.6933,99.9244,477.545602,3217.611566,0,686.77946466315
2/27/2021,UT1770XE,R7,99.9159,99.9721,100,0,94.4079,0.0573,0.0595,-103,99.9294,493.336001,1508.727089,0,372.8863293638
2/27/2021,UT1845XE,R8,99.8638,100,100,0.0258,97.3737,0.0824,0.0784,-102.6,99.9084,300.178175,1364.216393,0,602.959354594475
2/27/2021,UT1871XA,R8,99.2946,99.9369,100,0.1031,92.9975,0.1295,0.1152,-97.6633,99.8145,326.64141,1372.632227,0,2094.6583236663
2/27/2021,UT1921XE,R1,100,100,100,0.1495,92.5,0.02,0.0203,-107.05,100,559.215171,3860.919457,0,66.980228922
2/27/2021,UT1929XD,R1,99.8603,99.9889,100,0.065,96.9231,0.0324,0.0284,-103.05,99.9501,492.717246,1646.029517,0,938.434214175588
2/27/2021,UT1951XB,R1,99.6995,99.9448,96.1538,0.0822,94.2073,0.0898,0.0824,-102.7333,99.8766,347.88065,1798.15732,0,1302.0950188308
2/27/2021,UT1761XA,R1,99.8721,100,100,0,91.1111,0.1337,0.1244,-105.8733,99.9315,419.770105,1987.946603,0,358.700245114475
2/27/2021,UT1825XD,R8,99.8808,99.9634,100,0.018,94.8276,0.1132,0.1053,-102.66,100,512.566384,2836.89778,0,919.7703437467
2/27/2021,UT1871XB,R8,99.7585,99.9729,100,0.0629,96.5517,0.1298,0.1183,-100.3267,99.9481,361.300155,1976.594909,0,1452.6143547797
2/27/2021,UT1909XC,R1,99.5341,99.9775,98.2759,0.0988,95.1613,0.1423,0.129,-102.7633,99.8976,353.148415,1938.976323,0,896.559940067225
2/27/2021,UT1930XA,R1,99.7083,99.9643,100,0,87.0968,0.0365,0.0332,-105.7033,99.8636,456.520247,2208.72969,0,264.9518103812
2/27/2021,UT1991XC,R1,99.8899,99.983,100,0.0486,87.5,0.0473,0.0451,-103.9175,99.901,468.761668,3262.729097,0,1449.31671985079
2/27/2021,UT1752XC,R7,99.5057,99.9448,92.8571,0.0772,92.8448,0.1008,0.0928,-100.81,99.9269,369.222492,1756.125147,0,1057.3451048872
2/27/2021,UT1766XG,R7,99.765,100,100,0,95.6522,0.0555,0.0468,-105.24,100,767.707919,1909.844986,0,146.0664586518
2/27/2021,UT1792XC,R7,99.882,100,100,0.158,93.1689,0.1285,0.1221,-100.2233,99.9607,441.036477,2666.287511,0,1219.040895661
2/27/2021,UT1804XE,R7,99.6547,99.9518,100,0.0689,92.5,0.0297,0.0185,-105.12,100,496.374794,3011.054558,0,224.5315534828
2/27/2021,UT1813XD,R7,99.5899,99.9616,100,0.0375,97.619,0.0687,0.0679,-103.5333,99.9437,375.125408,2982.355858,0,876.1772751679
2/27/2021,UT1822XA,R8,99.7319,99.9641,100,0.0976,97.9381,0.425,0.3818,-100.3867,99.7991,355.386041,2056.14095,0,1280.8098429357
2/27/2021,UT1826XA,R7,99.841,99.9729,93.3333,0.1912,90.3002,0.3514,0.3302,-98.1867,99.8689,327.86163,1194.282783,0,1194.00161348429
2/27/2021,UT1893XC,R7,99.1209,99.883,100,0.3886,93.1034,0.2821,0.2398,-94.5033,99.7003,325.228258,2118.586756,0,1046.22572739119
2/27/2021,UT1922XB,R1,99.6968,99.991,100,0.1132,90.5533,0.2971,0.2433,-103.35,99.9038,407.586704,2181.05003,0,1150.72128149346
2/27/2021,UT1951XD,R1,99.3944,99.9624,92.5094,0.2022,82.5419,0.4437,0.334,-101.7833,99.8889,261.264894,1138.647098,0,1831.6724653964
2/27/2021,UT1956XG,R1,99.9282,99.8658,100,0.1226,98.5437,0.1537,0.1082,-104.99,99.9529,486.563704,2393.859241,0,311.8632199608
2/27/2021,UT1972XB,R1,99.8649,100,100,0.0942,89.9628,0.078,0.0738,-103.8767,99.8838,427.454358,2566.521552,0,1091.73600485546
2/27/2021,UT1752XE,R7,99.8248,100,100,0.0606,96.9231,0.1317,0.1257,-103.26,99.9464,386.846816,2231.482621,0,420.9473305081
2/27/2021,UT1810XA,R7,99.6734,99.9729,100,0.0574,97.6,0.1264,0.1102,-101.6133,99.96,384.610946,2730.605379,0,1066.8373941194
2/27/2021,UT1830XC,R7,99.6417,99.9763,100,0.1104,86.5116,0.1849,0.1933,-97.23,99.8753,338.808273,2127.446154,0,1702.4648607123
2/27/2021,UT1838XF,R7,99.6888,99.9764,100,0.0491,86.6071,0.2554,0.2264,-101.33,99.9684,316.191478,658.713869,0,681.617975104
2/27/2021,UT1884XD,R7,99.7582,99.9792,96.4286,0.1804,96.6543,0.1631,0.1447,-100.27,99.9364,349.259659,2236.937277,0,1122.8972528366
2/27/2021,UT1922XC,R1,99.7103,100,100,0.1433,98.5536,0.1568,0.1403,-104.4833,99.9365,398.300301,2619.889919,0,340.546427245
2/27/2021,UT1939XA,R1,99.6448,99.8984,96.9565,0.094,83.0189,0.2547,0.1863,-101.5633,99.8896,339.584217,2190.416133,0,1113.6546242114
2/27/2021,UT1968XF,R1,99.806,99.7326,100,0,87.3211,0.0419,0.033,-105.7167,99.709,422.01543,3002.635893,0,285.2865052738
2/27/2021,UT1972XC,R1,99.8799,99.9895,100,0,95.7845,0.0612,0.0525,-103.9367,99.9575,418.364031,3273.036861,0,1231.76702809134
2/27/2021,UT1998XA,R1,99.7615,99.973,100,0.0522,95.1821,0.1224,0.1013,-103.6967,99.8851,343.119307,1911.999488,0,1322.8344642799
2/27/2021,UT1880XB,R7,99.3561,99.9762,100,0.3315,97.4619,0.1469,0.1351,-103.2067,99.9138,583.238804,2226.618086,0,454.380121127075
2/27/2021,UT1963XA,R1,99.7103,99.9804,100,0.2859,85.5856,0.2563,0.2385,-98.3267,99.7344,320.848952,1475.708192,0,1048.45282972135
2/27/2021,UT2003XA,R1,99.8761,99.9517,100,0.0347,87.3762,0.0716,0.068,-105.22,99.848,442.063275,3059.481146,0,578.569951332988
2/27/2021,UT1814XC,R7,98.3986,99.8669,100,0.1472,98.6486,0.1485,0.0943,-103.43,99.9083,426.233872,2920.740943,0,389.991297226
2/27/2021,UT1867XF,R8,99.8805,99.9838,100,0.0487,96.0452,0.1759,0.1465,-103.14,99.8816,320.76366,902.611664,0,587.6790065129
2/27/2021,UT1919XA,R1,99.5982,100,100,0,91.0448,0.1303,0.1059,-105.1067,99.8601,402.290737,2179.665214,0,462.984051404763
2/27/2021,UT1935XA,R1,99.7344,99.9876,92.6471,0.0843,45.8333,0.1584,0.1413,-103.17,99.9363,333.865675,2202.062845,0,864.318454347025
