,PERIOD_START_TIME,SECTOR,REGION,RRC_SETUP_SR_ALL,RAB_EST_SR_CS,W2G_IRAT/IF_HO_SR,DROP_CALL_RATE,IF_HOSR,RAB_DROP_RATE_HSDPA,RAB_DROP_RATE_EUL,AVERAGE_UL_RSSI_DBM,RAB_SETUP_SUCC_RATE_PS,EUL_MAC_USER_THR_KBPS,HSDPA_MAC_HS_USER_THR_NET,PAGING_INTENSITY(PPS/CELL),3G_LOAD
4655,2/27/2021,UT2014XA,R1,99.8992,100.0,100.0,0.1105,97.619,0.2107,0.1392,-102.2267,99.8914,390.278625,2578.304626,0,554.8331131782
4656,2/27/2021,UT1802XB,R7,99.8553,99.9905,66.6667,0.0256,96.3325,0.3193,0.3009,-98.43,99.9529,304.475024,1797.692259,0,1100.2115450029
4657,2/27/2021,UT1806XC,R7,99.8194,99.969,100.0,0.0907,98.8848,0.091,0.0851,-102.2367,100.0,459.054427,3078.655142,0,704.5907137326
4658,2/27/2021,UT1868XC,R8,99.5273,99.9916,100.0,0.0736,92.7632,0.1273,0.1176,-101.5167,99.9054,409.927473,2054.052081,0,1478.1980493735998
4659,2/27/2021,UT1876XG,R8,99.8915,99.9673,100.0,0.1,100.0,0.0493,0.0384,-103.8,100.0,471.14911900000004,1393.8448349999999,0,348.41527293949997
4660,2/27/2021,UT1935XF,R1,99.8635,100.0,100.0,0.0918,95.8333,0.0884,0.0897,-106.38,99.9422,507.23365099999995,2684.9701670000004,0,145.8119209425
4661,2/27/2021,UT1970XA,R1,99.8697,99.9697,100.0,0.0579,90.4494,0.0953,0.0857,-103.5767,99.9344,395.289189,2729.618838,0,1193.734176206
4662,2/27/2021,UT2013XB,R1,99.9033,100.0,100.0,0.0,100.0,0.0791,0.0671,-101.56,99.7639,403.368588,3269.814223,0,602.2745917724
4663,2/27/2021,UT2014XC,R1,99.6635,100.0,100.0,0.0658,100.0,0.1519,0.1213,-103.5767,99.8216,371.898709,2307.495425,0,439.134930735013
4664,2/27/2021,UT1980XC,R1,99.5833,99.9311,98.5075,0.2391,94.0252,0.3599,0.2742,-103.3133,99.822,363.39103900000003,2581.85444,0,817.0702498944
